voltage,current,power,FR[%],Q[W],alpha,beta,P[bar],Te_mean[K],Tc_mean[K],Te_std[K],Tc_std[K],T_pulse[K],TR_train[K/W]
63.3,0.938,59.5,60,60,30,0,0.453,312.81,303.5,274.0461027,273.9181146,351.05,0.1551666666666667
82.5,1.212,100,60,100,90,0,1.543,365.97,355.475,274.0171793,288.9606241,371.29,0.10495000000000004
74.3,1.085,80.6,60,80,0,0,0.573,389.49,303.775,273.8155825,274.3703142,327.27,1.0714375000000005
81.7,1.198,98,60,100,0,0,0.543,373.21,302.725,273.6819774,274.4079746,363.55,0.7048500000000001
53.5,0.792,42.4,60,40,90,0,0.743,352.25,311.85,274.3849089,279.5910144,322.31,1.010000000000001
89.8,1.309,117.6,60,120,0,0,1.133,391.47,308.725,284.993437,279.8005012,344.51,0.6895416666666667
73.5,1.086,79.8,60,80,30,0,0.513,332.85,301.775,273.7067764,274.5814911,335.47,0.3884374999999999
90.1,1.327,119.7,60,120,0,0,0.783,328.97,301.025,274.3796341,274.0155441,344.51,0.23287499999999994
90.4,1.324,119.8,60,120,60,0,1.293,360.99,327.625,273.9764381,291.370021,333.65,0.27804166666666674
82.5,1.213,100.2,60,100,90,0,1.523,364.31,356.125,274.3616105,287.6552577,371.29,0.08184999999999945
91.3,1.334,122,60,120,60,0,2.363,375.33,370.025,274.6084238,283.4774311,333.65,0.04420833333333339
